Agewt,ECG-0,ECG-1,BM-0,BM-1,CP-0,CP-1,CP-2,DB-0,DB-1,PFH-0,PFH-1,CHOL-0,CHOL-1,SCORE,Max-Score
0.035,0.096,0.000,0.000,0.008,0.000,0.000,0.028,0.406,0.000,0.637,0.000,0.000,0.491,1.701,
0.035,0.096,0.000,0.000,0.008,0.000,0.000,0.028,0.406,0.000,0.000,0.363,0.509,0.000,1.445,
0.035,0.096,0.000,0.000,0.008,0.000,0.000,0.028,0.406,0.000,0.000,0.363,0.000,0.491,1.427,
0.035,0.096,0.000,0.000,0.008,0.000,0.000,0.028,0.000,0.594,0.637,0.000,0.509,0.000,1.907,
0.035,0.096,0.000,0.000,0.008,0.000,0.000,0.028,0.000,0.594,0.637,0.000,0.000,0.491,1.889,
0.035,0.096,0.000,0.000,0.008,0.000,0.000,0.028,0.000,0.594,0.000,0.363,0.509,0.000,1.633,
0.035,0.096,0.000,0.000,0.008,0.000,0.000,0.028,0.000,0.594,0.000,0.363,0.000,0.491,1.615,
0.035,0.000,0.904,0.992,0.000,0.040,0.000,0.000,0.406,0.000,0.637,0.000,0.509,0.000,3.523,
0.035,0.000,0.904,0.992,0.000,0.040,0.000,0.000,0.406,0.000,0.637,0.000,0.000,0.491,3.505,
0.035,0.000,0.904,0.992,0.000,0.040,0.000,0.000,0.406,0.000,0.000,0.363,0.509,0.000,3.249,
0.035,0.000,0.904,0.992,0.000,0.040,0.000,0.000,0.406,0.000,0.000,0.363,0.000,0.491,3.231,
0.035,0.000,0.904,0.992,0.000,0.040,0.000,0.000,0.000,0.594,0.637,0.000,0.509,0.000,3.711,
0.035,0.000,0.904,0.992,0.000,0.040,0.000,0.000,0.000,0.594,0.637,0.000,0.000,0.491,3.693,
0.035,0.000,0.904,0.992,0.000,0.040,0.000,0.000,0.000,0.594,0.000,0.363,0.509,0.000,3.437,
0.035,0.000,0.904,0.992,0.000,0.040,0.000,0.000,0.000,0.594,0.000,0.363,0.000,0.491,3.419,
0.035,0.000,0.904,0.992,0.000,0.000,0.932,0.000,0.406,0.000,0.637,0.000,0.509,0.000,4.415,
0.035,0.000,0.904,0.992,0.000,0.000,0.932,0.000,0.406,0.000,0.637,0.000,0.000,0.491,4.397,
0.035,0.000,0.904,0.992,0.000,0.000,0.932,0.000,0.406,0.000,0.000,0.363,0.509,0.000,4.141,
0.035,0.000,0.904,0.992,0.000,0.000,0.932,0.000,0.406,0.000,0.000,0.363,0.000,0.491,4.123,
0.035,0.000,0.904,0.992,0.000,0.000,0.932,0.000,0.000,0.594,0.637,0.000,0.509,0.000,4.603,
0.035,0.000,0.904,0.992,0.000,0.000,0.932,0.000,0.000,0.594,0.637,0.000,0.000,0.491,4.585,
0.035,0.000,0.904,0.992,0.000,0.000,0.932,0.000,0.000,0.594,0.000,0.363,0.509,0.000,4.329,
0.035,0.000,0.904,0.992,0.000,0.000,0.932,0.000,0.000,0.594,0.000,0.363,0.000,0.491,4.311,
0.035,0.000,0.904,0.992,0.000,0.000,0.000,0.028,0.406,0.000,0.637,0.000,0.509,0.000,3.511,
0.035,0.000,0.904,0.992,0.000,0.000,0.000,0.028,0.406,0.000,0.637,0.000,0.000,0.491,3.493,
0.035,0.000,0.904,0.992,0.000,0.000,0.000,0.028,0.406,0.000,0.000,0.363,0.509,0.000,3.237,
0.035,0.000,0.904,0.992,0.000,0.000,0.000,0.028,0.406,0.000,0.000,0.363,0.000,0.491,3.219,
0.035,0.000,0.904,0.992,0.000,0.000,0.000,0.028,0.000,0.594,0.637,0.000,0.509,0.000,3.699,
0.035,0.000,0.904,0.992,0.000,0.000,0.000,0.028,0.000,0.594,0.637,0.000,0.000,0.491,3.681,
0.035,0.000,0.904,0.992,0.000,0.000,0.000,0.028,0.000,0.594,0.000,0.363,0.509,0.000,3.425,
0.035,0.000,0.904,0.992,0.000,0.000,0.000,0.028,0.000,0.594,0.000,0.363,0.000,0.491,3.407,
0.035,0.000,0.904,0.000,0.008,0.040,0.000,0.000,0.406,0.000,0.637,0.000,0.509,0.000,2.539,
